"docid"	"allcopiesofwork"	"author"	"authordate"	"category"	"copiesin25yrs"	"enumcron"	"firstpub"	"gender"	"genres"	"imprint"	"inferreddate"	"latestcomp"	"nationality"	"pseudonym"	"realname"	"shorttitle"	"subjects"
"nyp.33433074873286"	1	"Knowles, Robert Edward"	"b. 1868."	"novel"	1			"m"	"Fiction"	"New York;Chicago [etc.;F."	1908	1908				"The web of time"	
"nyp.33433074939418"	1	"Ayscough, John"	"1858-1928."	"novel"	1			"m"	"Fiction"	"New York and London;G. P."	1908	1908	"uk"		"Bickerstaffe-Drew, Francis Browning"	"Marotz"	"English fiction"
"wu.89099752115"	2	"Henham, Ernest G. (Ernest George)"	"1870-1948."	"novel"	2			"m"	"Fiction"	"London;A. Rivers, ltd.;19"	1909	1909	"uk"	"Trevena, John"		"Granite"	
"nyp.33433067286959"	2	"Bierce, Ambrose"	"1842-1914?"	"novel"	2	"v. 2"		"m"	"Fiction"	"New York;Washington;The N"	1909	1909	"us"			"The collected works of Ambrose Bierce"	
"uc2.ark+=13960=t2r49ht5b"	1	"Barr, Robert"	"1849-1912."	"novel"	1			"m"		"New York;Grosset & Dunlap"	1909	1909	"uk"			"Cardillac"	
"nyp.33433076021819"	2	"Spoth, John Charles"		"novel"	2			"m"	"NotFiction"	"Boston, Mass.;The C. M. C"	1909	1909	"us"			"A knight in homespun"	
"uva.x030750899"	4	"Phillpotts, Eden"	"1862-1960."	"novel"	4			"m"	"Fiction|NotFiction"	"New York;The Macmillan Co"	1909	1909	"uk"			"The three brothers"	"English fiction"
"nyp.33433074812458"	3	"Dejeans, Elizabeth"	"1873-1928"	"novel"	3			"f"	"Fiction"	"Philadelphia;London;J. B."	1909	1909	"us"	"Dejeans, Elizabeth"	"Budgett, Frances Elizabeth Janes"	"The winning chance"	
"uva.x030748828"	3	"Cullum, Ridgwell"	"1867-1943."	"novel"	3			"m"	"Fiction|NotFiction"	"Philadelphia;G. W. Jacobs"	1909	1909	"uk"			"The sheriff of Dyke hole;"	"English fiction"
"uc2.ark+=13960=t7kp7zc3h"	1	"Weindel, Henri de"	"1868-1944."	"novel"	1			"m"		"London;J. Long;1909."	1909	1909	"fr"			"The real Francis-Joseph"	"Austria|Franz Joseph|1830"
"uva.x000682621"	2	"Morris, William"	"1834-1896."	"novel"	2	"V.18"	1896	"m"	"Bibliographies|NotFiction"	"London;Longmans, Green, a"	1910	1896	"uk"			"The Well at the World’s End"	
"uc2.ark+=13960=t3dz04t5t"	1	"Bill, Edward Lyman"	"1862-1916."	"novel"	1		1898	"m"		"New York;R.F. Fenno & co."	1910	1910	"us"			"The sword of the Pyramids"	
"uva.x002122780"	1	"Dixon, Thomas"	"1864-1946."	"novel"	1		1903	"m"	"Fiction"	"New York;Grosset & Dunlap"	1910	1910	"us"			"The one woman : a story of modern Utopia"	
"uc2.ark+=13960=t9862cj28"	1	"Ferguson, Esther Baldwin"	"b. 1842"	"novel"	1	"c.2"		"f"		"San Francisco;Gilmartin C"	1910	1910	"us"			"The lump of gold"	"Equality|Social condition"
"nyp.33433074824370"	1	"Batchelor, David O. (David Oren)"	"1865-"	"novel"	1			"m"	"Fiction"	"Boston;Sherman, French & "	1910	1910	"us"			"The unstrung bow : a story of conquest"	"To 1548|History|Fiction"
"nyp.33433076045248"	1	"Morgan, Jacque Lloyd"	"1873-1925"	"novel"	1			"m"	"Fiction"	"New York;R.F. Fenno & Com"	1910	1910	"us"			"The invaders : a story of the ""Hole-in-the-wall"" country"	"American fiction"
"uc2.ark+=13960=t11n8091g"	1	"Shedd, George C. (George Clifford)"	"1877-1937."	"novel"	1			"m"		"New York;Macaulay;1910."	1910	1910	"us"		"Shedd, George Clifford"	"The princess of Forge"	
"uc2.ark:/13960/t1ng4pv37"	4	"De Morgan, William Frend"	"1839-1917."	"novel"	4			"m"	"Fiction"	"London|W. Heinemann|1910-"	1910	1910	"uk"			"An affair of dishonour"	
"njp.32101076479813"	1	"Verne, Jules"	"1828-1905."	"novel"	1	"v.14"	1886	"m"	"Fiction"	"New York;V. Parke;c1911."	1911	1905	"fr"			"Ro"	
"nyp.33433074879515"	3	"Locke, William John"	"1863-1930."	"novel"	3			"m"	"Fiction"	"New York;John Lane compan"	1911	1911	"uk"			"The glory of Clementina"	
"uc2.ark+=13960=t6833p87b"	2	"Curwood, James Oliver"	"1878-1927."	"novel"	2			"m"	"Fiction"	"New York;A. L. Burt Co.;c"	1911	1911	"us"			"The honor of the big snows"	
"uva.x000607926"	2	"Mathews, John Lathrop"	"1874-"	"novel"	2			"m"	"NotFiction"	"Boston;Small, Maynard and"	1911	1911	"us"			"The log of the Easy Way"	"Houseboats"
"uc2.ark+=13960=t6j09xd5s"	1	"McNeil, Everett"	"1862-1929."	"novel"	1			"m"		"New York;E.P. Dutton;c191"	1911	1911	"us"			"The cave of gold;"	
"uc2.ark+=13960=t6n017c11"	2	"Holland, Clive"	"1866-1959."	"novel"	2			"m"		"London;Hurst & Blackett, "	1911	1911				"Brown face and white"	
"mdp.39015059371602"	3	"Jacks, L. P. (Lawrence Pearsall)"	"1860-1955."	"novel"	3		1911	"m"	"Fiction|NotFiction"	"New York;H. Holt and comp"	1912	1912	"uk"		"Jacks, Lawrence Pearsall"	"Among the idolmakers"	
"nyp.33433076059850"	1	"Putnam, Nina (Wilcox), Mrs"	"1888-1962."	"novel"	1			"f"	"Fiction"	"Garden City, N.Y.;Doubled"	1912	1912	"us"			"In search of Arcady"	
"uc2.ark+=13960=t56d5rj0b"	2	"Wylie, I. A. R. (Ida Alexa Ross)"	"1885-1959."	"novel"	2			"f"		"Indianapolis;Bobbs-Merril"	1912	1912	"au"			"The daughter of Brahma"	
"uc2.ark+=13960=t21c1w684"	2	"Martyn, Wyndham"	"1874-1963."	"novel"	2			"m"		"Boston;Little, Brown, and"	1912	1912	"uk"			"All the world to nothing"	
"uc2.ark+=13960=t6zw1ck14"	1	"Brady, Cyrus Townsend"	"1861-1920."	"novel"	1			"m"		"New York;Grosset & Dunlap"	1912	1912	"us"			"The chalice of courage"	
"uc1.31175034928476"	8	"Benson, Robert Hugh, (Spirit)"	"1871-1914."	"novel"	8			"m"	"Fiction|NotFiction"	"New York|Kenedy|c1912, 19"	1912	1912	"uk"		"Benson, Robert Hugh"	"Come rack! Come rope!"	
"uc2.ark+=13960=t06w98j10"	1	"Curwood, James Oliver"	"1878-1927."	"novel"	1			"m"		"New York;Grosset & Dunlap"	1912	1912	"us"			"Flower of the north"	
"uc2.ark+=13960=t3ws8jc3n"	1	"Webb, Kate Cope"		"novel"	1			"f"		"San Francisco;R.J. Orozco"	1912	1912				"Arthur in shadow and sunshine"	
"wu.89094712767"	1	"5th Baron, Rossmore, Derrick Warner William Westenra"	"1853-1921."	"novel"	1			"m"	"Autobiography|NotFiction"	"New York;George H. Doran "	1912	1912	"ir"			"Things I can tell"	"Court and courtiers"
"uc2.ark+=13960=t4zg6j18m"	2	"Tompkins, Juliet Wilbor"	"1871-1956."	"novel"	2			"f"		"Garden City, N.Y.;Doubled"	1913	1913	"us"			"Ever after"	
"nyp.33433074815105"	1	"Brown, Bob"	"1886-1959."	"novel"	1			"m"	"Fiction"	"New York;E.J. Clode;c1913"	1913	1913	"us"			"What happened to Mary : a novelization from the play and the stories appearing in the Ladies' world"	
"uc2.ark+=13960=t2794284g"	2	"Nicholas, Anna"		"novel"	2			"f"		"Indianapolis;The Bobbs-Me"	1913	1913	"us"			"The making of Thomas Barton"	
"nyp.33433075772669"	2	"Williamson, C. N. (Charles Norris)"	"1859-1920 | 1869-1933"	"novel"	2			"o"	"Fiction"	"Garden City, N.Y.;Doubled"	1913	1913	"us"		"Williamson, Charles Norris | Williamson, Alice Muriel"	"The port of adventure"	
"nyp.33433074864665"	1	"Graham, Oscar"		"novel"	1			"m"	"Fiction"	"St. Paul, Kan.;W. W. Grav"	1913	1913				"A prince of his race; a college-bred Indian romance"	
"nyp.33433074929682"	1	"Blount, Melesina Mary"		"novel"	1			"f"	"Fiction"	"New York;Duffield;1913."	1913	1913	"uk"	"Blount, Melesina Mary"	"Norman, Mrs. George"	"The silver dress"	
"nyp.33433043248826"	1	"Camp, Walter"	"1859-1925."	"novel"	1			"m"	"Fiction"	"New York;Hurst & Company;"	1913	1913	"us"	"Colton, Matthew M."		"Frank Armstrong, captain of the nine"	
"mdp.39015063964053"	1	"Watson, H. B. Marriott (Henry Brereton Marriott)"	"1863-1921."	"novel"	1			"m"	"Fiction"	"London;Mills & Boon;1913"	1913	1913	"uk"			"Ifs & ans"	
"mdp.39015030709128"	2	"Read, Opie Percival"	"1852-1939."	"novel"	2			"m"	"NotFiction"	"Chicago;The Reilly & Brit"	1914	1914	"us"			"The new Mr. Howerson"	
"coo.31924013535061"	1	"Philips, F. C. (Francis Charles)"	"1849-1921."	"novel"	1			"m"	"NotFiction"	"Leipzig;B. Tauchnitz;1914"	1914	1914	"uk"			"Judas, the woman"	
"nyp.33433076084478"	1	"Hughes, Rupert"	"1872-1956."	"novel"	1			"m"	"Fiction"	"New York;A.L. Burt;1916, "	1914	1914	"us"			"Clipped wings : a novel"	"American fiction"
"nyp.33433075756720"	1	"Upton, William C"		"novel"	1			"m"	"Fiction"	"New York;Upton;1914."	1914	1914				"Uncle Pat's cabin : a story of Irish life"	"Irish fiction"
"nyp.33433074851886"	7	"Dreiser, Theodore"	"1871-1945."	"novel"	5			"m"	"Fiction|UnknownGenre|NotF"	"New York;John Lane Co.;Lo"	1914	1914	"us"			"The Titan"	"Fiction|Capitalists and f"
"nyp.33433075751622"	1	"Snaith, J. C. (John Collis)"	"1876-1936."	"novel"	1			"m"	"NotFiction"	"New York and London;D. Ap"	1914	1914	"uk"			"Anne Feversham"	"Fiction|1564-1616|Shakesp"
"nyp.33433076046840"	1	"White, Eliza Orne"	"1856-1947."	"novel"	1			"f"	"Fiction"	"Boston;New York;Houghton "	1914	1914	"us"			"The first step : a novel"	
"uva.x001850551"	1	"Strother, Emily Viel�"	"1866-1959"	"novel"	1			"f"	"Fiction"	"New York;E. P. Dutton & c"	1915	1915	"us"			"Eve Dorre : the story of her precarious youth"	
"uc2.ark+=13960=t4pk09h5t"	1	"Hughes, Rupert"	"1872-1956."	"novel"	1			"m"		"New York;A.L. Burt;c1915."	1915	1915	"us"			"Empty pockets"	
"mdp.49015000587163"	9	"Fisher, Dorothy Canfield"	"1879-1958."	"novel"	7			"f"	"Fiction|NotFiction"	"New York;H. Holt;1915."	1915	1915	"uk"			"The bent twig"	"Young women|Middle West|A"
"mdp.39015063935962"	2	"Phillpotts, Eden"	"1862-1960."	"novel"	2			"m"	"Fiction|NotFiction"	"New York;The Macmillan co"	1915	1915	"uk"			"Brunel's tower"	
"mdp.39076002790082"	1	"Hayes, Clair W. (Clair Wallace)"	"b. 1887."	"novel"	1			"f"	"Juvenile audience|NotFict"	"New York;A.L. Burt;c1915."	1915	1915				"The boy allies in the trenches, or, Midst shot and shell along the Aisne"	"Trench warfare|World War,"
"nyp.33433074837331"	2	"Beach, Rex"	"1877-1949."	"novel"	2			"m"	"NotFiction"	"New York &;London;Harper "	1915	1915	"us"			"Heart of the sunset"	
"uc2.ark+=13960=t74t6hp34"	1	"Merrill, Mollie Slater"		"novel"	1			"f"		"San Francisco;c1915."	1915	1915				"Gullible's travels to the Panama-Pacific International Exposition"	"Panama-Pacific Internatio"
"mdp.39015063919321"	2	"Harris, Credo Fitch"	"1874-1956."	"novel"	2			"u"	"Fiction"	"Boston;Small, Maynard & c"	1915	1915				"Sunlight Patch"	
"nyp.33433074846431"	1	"Curtiss, Philip Everett"	"1885-1964."	"novel"	1			"m"	"Fiction"	"New York;London;Harper & "	1915	1915	"us"			"The ladder : the story of a casual man"	"American fiction"
"nyp.33433082171160"	3	"Allen, James Lane"	"1849-1925."	"novel"	3			"m"	"Fiction"	"New York;The Century co.;"	1915	1915	"us"			"The sword of youth"	
"uc2.ark+=13960=t1ng4gw8m"	1	"Palmer, Frederick"	"1873-1958."	"novel"	1			"m"		"New York;A.L. Burt Co.;19"	1916	1916	"us"			"The old blood"	
"nyp.33433074880901"	1	"Marsh, Richard"	"1857-1915"	"novel"	1			"m"	"Fiction"	"New York;Bretano's;1916."	1916	1915	"uk"	"Marsh, Richard"	"Heldmann, Richard Bernard"	"The great temptation"	
"loc.ark+=13960=t87h28463"	1	"Julius, Emanuel. [from old catalog]"	"1889-1951"	"novel"	1			"m"		"Girard, Kan.;E. Julius;c1"	1916	1916	"us"		"Haldeman-Julius, Emanuel"	"The color of life;"	
"mdp.39015011955427"	2	"Sawyer, Ruth"	"1880-1970."	"novel"	1			"f"	"Juvenile audience|Fiction"	"New York;London;Harper & "	1916	1916	"us"			"This way to Christmas"	"Christmas stories"
"njp.32101068167491"	1	"Colonel"		"novel"	1			"m"	"NotFiction"	"Wichita, Kansas;The Golds"	1916	1916	"us"	"The Commodore"	"Davidson, Charles Lock"	"Dilson's Key"	"Dilson, Frank|Islands|Flo"
"nyp.33433076044340"	1	"Seavy, Tom"		"novel"	1			"m"	"Fiction"	"Wantagh, New York;Bartlet"	1916	1916				"Dom Quick Jota"	"1916|Imprints"
"umn.31951002139557e"	1	"Kelland, Clarence Budington"	"1881-1964."	"novel"	1			"m"	"NotFiction"	"New York;Harper;1916]."	1916	1916	"us"			"The Hidden spring : a novel"	
"nyp.33433074928775"	1	"Bell, John Keble"	"1875-1928"	"novel"	1			"m"	"NotFiction"	"New York;London;1917."	1917	1917	"uk"	"Howard, Keble"	"Bell, John Keble"	"The gay life"	
"uc2.ark+=13960=t1sf2qf1f"	2	"Hayes, Clair W. (Clair Wallace)"	"b. 1887."	"novel"	2			"f"		"New York;A.L. Burt Co.;c1"	1917	1917	"us"		"Hayes, Clair Wallace"	"The boy allies at Verdun, or, Saving France from the enemy"	"France|Fiction|Verdun, Ba"
"loc.ark+=13960=t4wh36v99"	2	"Robbins, Mabel Hotchkiss"		"novel"	2			"f"	"Fiction"	"Boston;Chicago;The Pilgri"	1917	1917				"The heart of mother-to-be"	
"nyp.33433074864434"	1	"Baron, Gorell, Ronald Gorell Barnes"	"1884-1963."	"novel"	1			"m"	"Fiction"	"New York;London [etc.;Lon"	1917	1917	"uk"		"Barnes, Ronald Gorell"	"In the night"	
"uc2.ark+=13960=t0ht2hx56"	1	"Sidgwick, Alfred, Mrs"	"1854-1934."	"novel"	1			"f"		"New York;W.J. Watt & Comp"	1917	1917	"uk"		"Sidgwick, Cecily"	"Salt of the earth"	
"uc2.ark+=13960=t4rj4bm6v"	1	"Fisher, Mary"	"1858-"	"novel"	1			"f"		"New York;Thomas Y. Crowel"	1917	1917				"The Treloars"	
"mdp.39076002154875"	1	"Crownfield, Gertrude"	"1867-1945."	"novel"	1			"f"	"Juvenile audience|NotFict"	"New York;Macmillan;1921, "	1917	1917	"us"			"The little tailor of the winding way"	"Tailors|Juvenile fiction"
"nyp.33433074807342"	2	"Butler, Ellis Parker"	"1869-1937."	"novel"	2		1913	"m"	"Fiction"	"Boston;New York;Houghton "	1918	1918	"us"			"Philo Gubb : Correspondence-School detective"	
"wu.89099755571"	1	"Hough, Emerson"	"1857-1923."	"novel"	1		1918	"m"	"Fiction"	"New York;London;D. Applet"	1918	1918	"us"			"The way out: a story of the Cumberlands to-day"	
"uc2.ark+=13960=t6n011r00"	1	"Lee, Albert"	"1852-1935."	"novel"	1			"m"		"New York;F.H. Revell;c191"	1918	1918				"At his country's call"	
"mdp.39015063946209"	2	"Quiller-Couch, Arthur Thomas, Sir"	"1863-1944."	"novel"	2			"m"	"Fiction"	"New York;The Macmillan co"	1918	1918	"uk"			"Foe-Farrell; a romance"	
"nyp.33433074851936"	2	"Dyke, Watson"		"novel"	2			"m"	"Fiction"	"New York;London;G.P. Putn"	1918	1918	"us"			"The hunter"	
"nyp.33433076094618"	1	"Gibbs, George"	"1870-1942."	"novel"	1			"m"	"NotFiction"	"London;Appleton;1918."	1918	1918	"us"		"Gibbs, George Fort"	"The golden bough"	
"uc2.ark+=13960=t4rj4988x"	1	"Corcoran, Brewer"	"1977-"	"novel"	1			"m"		"Boston;Page;1918."	1918	1918	"us"			"The Boy Scouts of Kendallville"	
"nyp.33433076038847"	1	"Sinclair, B. M"	"1874-1940."	"novel"	1			"f"	"Fiction"	"Boston;Little, Brown, and"	1918	1918	"us"		"Sinclair, Bertha Muzzy"	"Skyrider"	
"wu.89005393855"	1	"McIntyre, John Thomas"	"1871-1951."	"novel"	1		1918	"m"	"Fiction"	"New York;A.L. Burt;c1919"	1919	1919	"us"			"Ashton-Kirk, criminologist"	
"uc2.ark+=13960=t9r20td03"	2	"Bercovici, Konrad"	"1882-1961."	"novel"	2			"m"		"New York;Boni and Liverig"	1919	1919	"us"			"Dust of New York"	"Social life and customs|N"
"uc2.ark+=13960=t6g15w87r"	2	"Carlsen, C. L. (Carl Laurence)"	"1880-"	"novel"	2			"m"		"New York;E.P. Dutton & Co"	1919	1919				"The son of Pio"	
"njp.32101062081037"	1	"St. John, Isabella, Lady"	"1792-1875"	"novel"	1			"f"	"NotFiction"	"London;John Lane;New York"	1919	1919	"uk"			"A journey in war-time"	"World War, 1914-1918|Pers"
"nyp.33433074930714"	2	"Brown, George Rothwell"		"novel"	2			"m"	"NotFiction"	"Boston;Small, Maynard & C"	1919	1919	"us"			"Beyond the sunset : a tale of love and pirate gold"	
"nyp.33433082345905"	1	"Gray, Joslyn"		"novel"	1			"f"	"Juvenile audience|Fiction"	"New York;Charles Scribner"	1919	1919				"Rosemary Greenaway"	
"nyp.33433076073802"	1	"Wells, Carolyn"	"1862-1942."	"novel"	1			"f"	"Mystery fiction|Fiction"	"Philadelphia;London;J.B. "	1919	1919	"us"			"The diamond pin"	
"nyp.33433076059728"	1	"Quirk, Leslie W"	"1882-1960."	"novel"	1			"f"	"Fiction"	"Boston;Little, Brown, and"	1919	1919				"The boy scouts on crusade"	
"uc2.ark+=13960=t46q1vv6t"	6	"Jacobs, W. W. (William Wymark)"	"1863-1943."	"novel"	6			"m"	"NotFiction"	"New York;C. Scribner's So"	1919	1919	"uk"			"Deep waters"	
"nyp.33433082529482"	2	"Abbott, Jane"	"1881-1968."	"novel"	2			"f"		"Philadelphia;London;J. B."	1919	1919	"us"			"Larkspur"	
"nyp.33433076069917"	1	"Lathrop, William Addison"	"1864-1925."	"novel"	1			"m"	"NotFiction"	"New York;A.L. Burt Compan"	1919	1919	"us"			"Love time in Picardy"	
"nyp.33433082486014"	2	"Botsford, Charles A. (Charles Alexander)"	"b. 1871."	"novel"	2			"m"	"Fiction"	"Philadelphia;The Penn Pub"	1919	1919	"us"			"Fighting with the U. S. Army"	
"uc2.ark+=13960=t96689652"	1	"Tarkington, Booth"	"1869-1946."	"novel"	1		1900	"m"		"New York;Scribner;1920."	1920	1920	"us"			"Monsieur Beaucaire ; The beautiful lady ; His own people"	
"wu.89089202519"	1	"Prydz, Alvilde"	"1848-1922."	"novel"	1		1906	"m"	"NotFiction"	"S.l.|s.n.|192-]."	1920	1920	"no"			"The children at Hœro Gaard "	
"mdp.39015048717071"	1	"Conrad, Joseph"	"1857-1924."	"novel"	1			"m"	"Fiction"	"New York;E. P. Dutton and"	1920	1920	"uk"			"Youth and Gaspar Ruiz"	
"nyp.33433074810908"	2	"Dodd, Lee Wilson"	"1879-1933."	"novel"	2			"m"	"NotFiction"	"New York;E.P. Dutton;1920"	1920	1920	"us"			"The book of Susan : a novel"	
"nyp.33433074843255"	1	"Davis, Norah"	"b. 1878."	"novel"	1			"f"	"Fiction"	"New York;The Century Co.;"	1920	1920	"us"			"The other woman"	
"mdp.39015006955945"	3	"Johnston, Mary"	"1870-1936."	"novel"	3			"f"	"Fiction"	"New York;London;Harper & "	1920	1920	"us"			"Sweet rocket"	
"nc01.ark+=13960=t1gj09x17"	1	"Moore, Edith Mary"	"1871-1949."	"novel"	1			"f"		"London;Hodder & Stoughton"	1920	1920	"uk"			"The blind marksman"	
"mdp.39015063975745"	3	"Shute, Henry A. (Henry Augustus)"	"1856-1943."	"novel"	3			"m"	"Fiction"	"Boston;New York;Houghton "	1920	1920	"us"			"The real diary of the worst farmer"	
"nyp.33433076068067"	2	"Jones, Susan Carleton"	"1864-1926."	"novel"	2			"f"	"NotFiction"	"Boston;Little, Brown, and"	1920	1920	"ca"			"The La Chance mine mystery"	
"uc2.ark+=13960=t9p26r397"	1	"Miller, Warren Hastings"	"1876-1920."	"novel"	1			"m"		"New York;London;D. Applet"	1920	1920	"us"			"The ring-necked grizzly"	
"uc2.ark+=13960=t9k35nx3w"	2	"Munroe, Kirk"	"1850-1930."	"novel"	2		1893	"m"		"New York;Harper & brother"	1921	1921	"us"			"Raftmates"	
"nyp.33433075728604"	3	"Fletcher, J. S. (Joseph Smith)"	"1863-1935."	"novel"	3		1900	"m"	"Fiction"	"New York;A. A. Knopf;1921"	1921	1921	"uk"			"The Herapath property"	
"uc1.$b730055"	1	"MartÃ­nez Sierra, Gregorio"	"1881-1947."	"novel"	1		1906	"m"	"Fiction"	"Boston;R. G. Badger;c1921"	1921	1921	"es"		"Martínez Sierra, Gregorio "	"Ana Maria (Tú eres la paz )"	
"uc2.ark+=13960=t52f7k62m"	2	"Morris, Gouverneur"	"1876-1953."	"novel"	2		1911	"m"		"New York;Dodd, Mead;1921 "	1921	1921	"us"			"Yellow men and gold"	
"uc2.ark+=13960=t7wm18884"	1	"Bourdillon, Francis William"	"1852-1921."	"novel"	1			"m"		"London;A. Moring;1921."	1921	1921	"uk"			"Gerard & Isabel"	
"nyp.33433074856836"	1	"Gibbon, Muriel Morgan"		"novel"	1			"f"	"NotFiction"	"Garden City, N.Y.;Toronto"	1921	1921	"uk"			"The alternative"	
"uc2.ark+=13960=t0sq8zn5q"	2	"Howard, M. W. (Milford Wriarson)"	"1862-1937."	"novel"	2			"m"		"Los Angeles, Cal.;Publish"	1921	1921	"us"		"Howard, Milford Wriarson"	"Peggy Ware"	
"uc2.ark+=13960=t6n011p3j"	1	"Dowdall"	"1876-1939"	"novel"	1			"f"		"Boston and New York;Hough"	1921	1921	"uk"		"Dowdall, Mary Frances Harriet"	"Three loving ladies"	
"umn.31951002096061t"	1	"Lincoln, Joseph Crosby"	"1870-1944."	"novel"	1			"m"	"NotFiction"	"London;D. Appleton and co"	1921	1921	"us"			"The magnificent Mr. Bangs : a novel"	
"uc2.ark+=13960=t8hd7pj59"	1	"Hart, William S"	"1864-1946."	"novel"	1			"m"		"New York;Grosset & Dunlap"	1921	1921	"us"			"Injun and Whitey strike out for themselves"	
"loc.ark+=13960=t2d805x4x"	1	"Bartlett, Frederick Orin"	"1876-1945."	"novel"	1			"m"		"Norwood, Mass.;Priv. prin"	1922	1922	"us"			"Jane and I"	
"mdp.39015031311270"	3	"Stern, G. B. (Gladys Bronwyn)"	"1890-1973."	"novel"	3			"f"	"Fiction"	"New York;A. A. Knopf;1922"	1922	1922	"uk"		"Stern, Gladys Bertha"	"The room"	
"mdp.39015059376718"	1	"Colcord, Lincoln"	"1883-1947."	"novel"	1			"m"	"Fiction"	"New York;Macmillan;1922."	1922	1922	"us"			"An instrument of the gods, and other stories of the sea"	
"uc2.ark+=13960=t48p5x45j"	1	"Lee, Jennette"	"1860-1951."	"novel"	1			"f"		"New York;Scribner's;1922,"	1922	1922	"us"			"The rain-coat girl"	
"njp.32101076515384"	1	"Keith, Henrietta Jewett"	"1845?-1924."	"novel"	1			"f"	"NotFiction"	"Minneapolis;Colwell Press"	1922	1922	"us"			"Pipes o' Pan in a city park"	"Parks|Minnesota|Descripti"
"uc2.ark+=13960=t8sb3xw2h"	2	"McCutcheon, George Barr"	"1866-1928."	"novel"	2			"m"		"New York;Dodd, Mead and c"	1922	1922	"us"			"Yollop"	
"uc2.ark+=13960=t7pn92073"	2	"Hopkins, William John"	"1863-1926."	"novel"	2			"m"		"Boston;Houghton Mifflin;1"	1922	1922	"us"			"She blowsl and sparm at that !"	"Whaling"
"uc1.31822033251729"	1	"Forrest, Michael D"		"novel"	1			"m"	"NotFiction"	"Kensington, Sydney;Sacred"	1922	1922				"Father Justin : a story of Papua"	"Catholic Church|Papua New"
"uc2.ark+=13960=t85h7f036"	1	"Walden, Walter"		"novel"	1			"m"		"Boston;Small, Maynard;c19"	1922	1922				"The voodoo gold trail"	
"mdp.39015071555471"	1	"Hoover, Bessie Ray"	"1874-"	"novel"	1			"f"	"Fiction"	"Boston;Small, Maynard & c"	1922	1922				"Rolling acres"	"Fiction"
"uc1.$b317729"	2	"France, Anatole"	"1844-1924."	"novel"	2		1893	"m"	"Fiction"	"New York|Boni and Liverig"	1923	1923	"fr"			"The Queen Pedauque"	
"uc1.$b242857"	1	"jr., Fox, John"	"1862-1919."	"novel"	1		1908	"m"	"Fiction"	"New York|C. Scribner's so"	1923	1923	"us"			"The trail of the lonesome pine"	
"uc1.b3546952"	1	"Butler, Samuel"	"1835-1902."	"novel"	1	"v. 13"		"m"	"NotFiction"	"London|J. Cape|New York|E"	1923	1902	"uk"			"The Shrewsbury edition of the works of Samuel Butler"	
"mdp.39015019187809"	12	"Cather, Willa"	"1873-1947."	"novel"	12			"f"	"Fiction|NotFiction"	"New York|Grosset & Dunlap"	1923	1923	"us"			"A lost lady"	"Social life and customs|F"
"wu.89099787574"	3	"Shastid, Thomas Hall"	"1866-1947."	"novel"	3			"m"	"Fiction"	"Ann Arbor, Michigan|Georg"	1923	1923	"us"			"Simon of Cyrene, dimachaerus splendens,: or, The story of a man's (and a nation's) soul"	"Simon|of Cyrene|Fiction"
"osu.32435059299925"	1	"Wyman, Levi Parker"	"1873-"	"novel"	1			"m"	"NotFiction"	"New York|A.L. Burt|c1923"	1923	1923				"The Golden boys along the river Allagash"	
"umn.319510020851165"	1	"Fletcher, J. S. (Joseph Smith)"	"1863-1935."	"novel"	1			"m"	"NotFiction"	"New York|Grosset & Dunlap"	1923	1923	"uk"			"The lost Mr. Linthwaite"	
"wu.89015458359"	1			"novel"	1	11		"u"	"Fiction"	"New York|Current Literatu"	1923	1923				"The French immortals"	"French fiction|English fi"
"uc1.$b103181"	2	"Hurst, Fannie"	"1889-1968."	"novel"	1		1923	"f"	"Fiction|NotFiction"	"London|J. Cape, ltd.|1924"	1924	1924	"us"			"Lummox"	
"osu.32435053068557"	2	"Brand, Max"	"1892-1944."	"novel"	2		1923	"m"	"Fiction|NotFiction"	"New York|A.L. Burt Compan"	1924	1924	"us"		"Faust, Frederick Schiller"	"Dan Barry's daughter"	
"mdp.39015067068505"	1	"Riley, W. (William)"	"1866-"	"novel"	1		1923	"m"	"UnknownGenre"	"London|H. Jenkins Ltd.|19"	1924	1924	"uk"	"Riley, Willie"		"The garden of delight"	
"pst.000029585403"	1	"Ferber, Edna"	"1885-1968."	"novel"	1			"f"	"NotFiction"	"New York|Fawcett Crest Bo"	1924	1924	"us"			"So-Big : a novel"	
"uc1.$b312438"	2	"Sabin, Edwin L. (Edwin Legrand)"	"1870-1952."	"novel"	2			"m"	"Fiction"	"Philadelphia|G. W. Jacobs"	1924	1924	"us"		"Sabin, Edwin Legrand"	"The city of the sun"	
"uc1.$b318317"	1	"Rosny, J. H., aÃ®nÃ©, pseud. of J. H. BoÃ«x"	"1856-1940."	"novel"	1			"m"	"NotFiction"	"New York|R. M. McBride|19"	1924	1924	"fr"	"Rosny aîné "	"Boex, Joseph Henri Honoré"	"The giant cat; or, The quest of Aoun and Zouhr"	
"uc1.$b703967"	2	"Tharaud, Jean"	"1877-1952."	"novel"	2			"m"	"Fiction"	"New York|A. A. Knopf|1924"	1924	1924	"fr"			"The shadow of the cross;"	
"mdp.39015030706777"	2	"Masters, Edgar Lee"	"1868-1950."	"novel"	2			"m"	"Fiction"	"New York|Boni and Liverig"	1924	1924	"us"			"Mirage"	
